time,accX,accY,accZ,wRoll,wPitch,wYaw,Pa
0.09,         -0.28411,           0.3768,-9.93220955354043,                0,                0,                0,100014.4140867553
0.13,  -0.2841099999286559,   0.3767999999815612,   -9.927398201789234,  0.01707588366365536,1.218512982613506e-06,  0.07222051858236106,    100014.2997086315
0.17, -0.2841100005753435,  0.3767999940602434,  -9.922004843965407,0.001125098159748141, 0.03256091337241489, 0.08434394150381082,   100014.6628804619
0.21, -0.2841100108632833,  0.3767999838590279,  -9.914862115047194,-0.05041849450797948,  0.0534592759441769,  0.1147823864108073,   100014.5200584651
0.25,-0.2841100127629124, 0.3767999899288405, -9.910146073302554,-0.0412599444369898,0.02368137098245361,  0.148832944924543,  100014.5641081981
0.28, -0.2841100074383438,  0.3767999932896738,  -9.903432243359413,-0.02335377019104791, 0.01920605994761587,  0.1554638379450695,   100014.3858863614
0.31,  -0.2841100028475112,    0.376799999885043,     -9.8964484675127,-0.004405235484495381, 0.002402664315865218,   0.1286419640046887,    100014.5486443097
0.35, -0.2841099998459312,  0.3768000036088085,  -9.890226090520589, 0.01452143429702014,-0.01605957972017504,  0.1093546240462605,   100014.5757197296
0.39, -0.2841099961727296,  0.3768000038808466,  -9.885810780329379,  0.0492654491078298,-0.01867668305808056, 0.07750149043892958,   100014.3548989749
0.41,  -0.2841099953778286,   0.3768000020267258,   -9.881846373119233,  0.07020278151508393,-0.003079612062258152,  0.05725558475597155,    100014.5426206258
0.44,   -0.2841099919110072,    0.3768000013774179,    -9.878073445735891,   0.05728435773417231,-0.0006975467314422075,    0.1095362338063536,     100014.6245018873
0.48,   -0.2841099870478069,    0.3768000009100683,    -9.877344314827006,   0.07105866721965577,-0.0002859579939336038,    0.1337744013111191,     100014.8419112231
0.52,   -0.2841099928836693,    0.3767999986959428,    -9.876606165407988,   0.04142089726439475,-0.0002394027021150016,    0.1244281232554891,     100014.9792142241
0.59,-0.2841099962471428, 0.3767999950507915, -9.875519332814847,0.02122007005401565,0.03114349009632597,0.09451677731277751,  100014.9752564489
0.66,-0.2841099991770688, 0.3767999990411581, -9.877117921920549,0.01818463230312604,0.03566525519410581,0.03245951203003017,  100014.5634541251
0.72, -0.2841099997889796,  0.3768000020853844,  -9.876303845904511,0.002084140507010549, 0.06747316210441065,-0.02176932020409762,    100014.693057005
0.79,   -0.2841099969671737,    0.3768000003750435,    -9.875981605497616,-0.0003334573966147768,   0.02521294326605258,  -0.06046808614858926,      100015.033968854
0.85,   -0.2841099974115516,    0.3767999989529106,    -9.877996629404711,-4.957452170031761e-05,  -0.01133935898362961,  -0.03988545562270211,     100014.9717567868
0.91,  -0.2841099965537455,    0.376799997905801,   -9.880627060044596,-0.009064965477861946, -0.04036174083789843, -0.03768696471829724,    100015.1848674025
0.99, -0.2841099953107435,  0.3767999986562978,  -9.883248032042349,-0.03482223302546427,  -0.039380942123424,-0.03549200596944041,   100014.7657465083
1.05, -0.2841099983172577,  0.3768000010720913,  -9.883186389943431,-0.02010402993710764, 0.02973104571021179,-0.01956972162491578,   100014.5964128483
1.12,  -0.2841099990651867,   0.3768000010110225,    -9.88280717968895, -0.03452403290485585,  0.06618050015376173,-0.003734138311829048,    100014.5382928628
1.19, -0.2841099995117195,  0.3767999997239831,  -9.878842645390112,-0.02108820808083906, 0.07151484100592331, 0.01334658304696085,   100014.6722094536
1.25,  -0.2841099992972477,   0.3767999990388244,   -9.874796140669664,-0.003572650107059572,  0.04133658252479658,  0.03071564106440839,    100014.6863307179
1.31, -0.2841099993036347,  0.3767999991606552,  -9.872287423006721,-0.01638133846991216,0.005910683847979633, 0.04815314984819836,    100014.282871312
1.37, -0.2841099966350497,  0.3768000005164607,  -9.868468059776305,  0.0126535411780566,-0.01478148512597771, 0.06559454800359911,   100014.3224443523
1.44, -0.2841099927715169,  0.3768000029333961,  -9.866156238162679, 0.03245693856888853,-0.03325002123180855, 0.08304241487329148,    100014.463225654
1.51,  -0.2841099909370657,   0.3768000002183058,   -9.865344071156271, 0.004591998001248284,-0.005149722660963781,   0.1005018243723777,    100014.5965872438
1.58,   -0.2841099959796846,    0.3768000006801143,    -9.867342929612676, 0.0004016513662665168,-0.0009956702107167708,   0.06172560534908772,      100014.539052845
1.64,   -0.2841099991924222,    0.3767999998394713,    -9.868414473110219,  -0.03111564460140703,-0.0004154058485361413,   0.01200734464022825,     100014.4377654592
1.71,    -0.284109995680286,    0.3767999998198513,     -9.86768909751164, -0.005124542780527386,-0.0003116732211895004,  -0.02577997907441792,     100014.4004856802
1.77,   -0.284109998048424,   0.3767999995099843,   -9.865700149324635,-0.001172743443475166,-0.000280234668404196,-0.005017783110245318,    100014.3165045293
