time,accX,accY,accZ,wRoll,wPitch,wYaw
0.06,  -0.34381585,   0.28487599,  -9.69560697,0.01745329252,            0, 0.0872664626
0.09,       -0.43222564,        0.34381585,-9.646490419999999,                 0,     0.03490658504,      0.0872664626
0.12,       -0.10805641,         0.1964662,-9.558080629999999,    -0.05235987756,     0.05235987756,     0.12217304764
0.16,                 0,       -0.07858648,-9.666137040000001,    -0.03490658504,     0.01745329252,     0.15707963268
0.2,       -0.04911655,                 0,-9.558080629999999,    -0.01745329252,     0.01745329252,     0.15707963268
0.24,  -0.16699627,   0.13752634,   -9.5286107,            0,            0,0.12217304764
0.27,       -0.16699627,       -0.07858648,-9.558080629999999,     0.01745329252,    -0.01745329252,     0.10471975512
0.3,       -0.10805641,       -0.13752634,-9.646490419999999,     0.05235987756,    -0.01745329252,     0.06981317008
0.34,       -0.01964662,       -0.25540606,-9.666137040000001,     0.06981317008,                 0,     0.05235987756
0.37,       -0.01964662,       -0.31434592,-9.666137040000001,     0.05235987756,                 0,     0.12217304764
0.4,       -0.07858648,       -0.34381585,-9.842956620000001,     0.06981317008,                 0,     0.13962634016
0.45,        0.01964662,       -0.28487599,-9.842956620000001,     0.03490658504,                 0,     0.12217304764
0.47,   0.04911655,  -0.31434592,  -9.81348669,0.01745329252,0.03490658504, 0.0872664626
0.49,        0.01964662,       -0.16699627,-9.931366410000001,     0.01745329252,     0.03490658504,     0.01745329252
0.53,        0.22593613,       -0.04911655,-9.842956620000001,                 0,     0.06981317008,    -0.03490658504
0.56,    0.31434592,   -0.16699627,   -9.90189648,             0, 0.01745329252,-0.06981317008
0.59,    0.40275571,   -0.31434592,   -9.99030627,             0,-0.01745329252,-0.03490658504
0.63,    0.16699627,   -0.28487599,  -10.07871606,-0.01745329252,-0.06981317008,-0.03490658504
0.66,    0.04911655,    -0.1964662,   -9.96083634,-0.03490658504,-0.03490658504,-0.03490658504
0.7,       -0.01964662,        -0.1964662,-9.842956620000001,    -0.01745329252,     0.03490658504,    -0.01745329252
0.73,       -0.04911655,       -0.10805641,-9.842956620000001,    -0.03490658504,     0.06981317008,                 0
0.76,        0.07858648,                 0,-9.666137040000001,    -0.01745329252,     0.06981317008,     0.01745329252
0.79,   0.16699627,  -0.07858648,  -9.61702049,            0,0.03490658504,0.03490658504
0.83,        0.04911655,       -0.04911655,-9.558080629999999,    -0.01745329252,                 0,     0.05235987756
0.86,    0.07858648,   -0.13752634,   -9.61702049, 0.01745329252,-0.01745329252, 0.06981317008
0.9,       -0.07858648,       -0.34381585,-9.754546830000001,     0.03490658504,    -0.03490658504,      0.0872664626
0.93,  -0.13752634,  -0.40275571,  -9.87242655,            0,            0,0.10471975512
0.96,  -0.07858648,  -0.52063543,  -9.96083634,            0,            0,0.05235987756
1,    0.22593613,    -0.4911655,   -9.90189648,-0.03490658504,             0,             0
1.03,         0.4911655,        -0.4911655,-9.725076899999999,                 0,                 0,    -0.03490658504
1.07, 0.40275571,-0.37328578,-9.69560697,          0,          0,          0
1.11,        0.46169557,        -0.1964662,-9.725076899999999,     0.06981317008,    -0.05235987756,                 0
1.14,        0.16699627,       -0.31434592,-9.725076899999999,      0.1745329252,    -0.10471975512,                 0
1.18,   -0.31434592,   -0.13752634,   -9.69560697, 0.15707963268,-0.05235987756, 0.01745329252
1.21,       -0.28487599,       -0.01964662,-9.842956620000001,     0.12217304764,                 0,     0.03490658504
1.25,       -0.28487599,        0.04911655,-9.754546830000001,     0.03490658504,                 0,     0.05235987756
1.27,  -0.22593613,   0.22593613,  -9.78401676,0.01745329252,            0,0.03490658504
1.3,   -0.10805641,    0.31434592,   -9.58755056, 0.03490658504,-0.03490658504, 0.05235987756
1.34,       -0.31434592,        0.25540606,-9.666137040000001,     0.06981317008,    -0.06981317008,     0.05235987756
1.38,       -0.40275571,         0.1964662,-9.666137040000001,      0.0872664626,     -0.0872664626,     0.06981317008
1.41,       -0.37328578,        0.13752634,-9.646490419999999,     0.06981317008,    -0.05235987756,      0.0872664626
1.44,   -0.62869184,    0.10805641,   -9.87242655, 0.03490658504,-0.05235987756,  0.0872664626
1.47,       -0.65816177,        0.31434592,-9.754546830000001,                 0,    -0.01745329252,     0.06981317008
1.5,   -0.71710163,    0.25540606,   -9.81348669, 0.01745329252,-0.06981317008,  0.0872664626
1.54,       -0.62869184,        0.34381585,-9.725076899999999,     0.05235987756,    -0.05235987756,      0.0872664626
1.57,       -0.56975198,        0.46169557,-9.666137040000001,     0.06981317008,    -0.03490658504,     0.05235987756
1.6,       -0.56975198,        0.37328578,-9.754546830000001,     0.05235987756,    -0.06981317008,     0.05235987756
1.63,   -0.56975198,    0.34381585,   -9.90189648, 0.06981317008,-0.06981317008,             0
1.66,       -0.56975198,        0.13752634,-9.725076899999999,     0.06981317008,    -0.03490658504,                 0
1.7,   -0.71710163,     0.1964662,   -9.90189648, 0.03490658504,-0.03490658504,-0.03490658504
1.73,   -0.62869184,   -0.07858648,   -10.0197762, 0.03490658504,-0.06981317008,-0.06981317008
1.77,   -0.46169557,   -0.13752634,   -9.87242655,-0.03490658504,-0.05235987756,-0.06981317008
1.81,   -0.46169557,   -0.07858648,   -10.0197762,-0.06981317008,-0.06981317008,-0.03490658504
1.84,        -0.4911655,                 0,-9.931366410000001,    -0.03490658504,    -0.06981317008,    -0.05235987756
1.88,        -0.4911655,       -0.04911655,-9.725076899999999,    -0.01745329252,    -0.03490658504,                 0
1.91,   -0.55010536,   -0.07858648,   -9.61702049, 0.03490658504,-0.01745329252,-0.06981317008
1.95,       -0.56975198,       -0.01964662,-9.646490419999999,     0.10471975512,                 0,    -0.13962634016
1.98,        -0.6876317,       -0.22593613,-9.842956620000001,     0.12217304764,    -0.01745329252,     -0.1745329252
