time,accX,accY,accZ,wRoll,wPitch,wYaw
0.06,          -0.28411,            0.3768,-9.932209743780826,                 0,                 0,                 0
0.09,  -0.2841099995348123,   0.3768000001157077,   -9.927442483170973,  0.01711593179540963,8.532136474755503e-08,  0.07771288451091603
0.12, -0.2841099994706553,  0.3767999997951664,  -9.921861904763308,0.008875120440626359, 0.01763425921881142, 0.08221241085597081
0.16,-0.2841100108994196, 0.3767999869304102, -9.914765877530687,-0.0525332952759397,0.05248359968756199,   0.11724719410449
0.2,-0.2841100119039897, 0.3767999949400611, -9.910016294256694,-0.0408292651311087, 0.0225615351238003, 0.1494241656747149
0.24, -0.2841100060042316,  0.3767999976233993,   -9.90334634181672,-0.02263423950818851, 0.01819369398331246,  0.1555801325668017
0.27,  -0.2841100018154879,   0.3768000033109611,   -9.896302526213402,-0.003702726084466788, 0.001480175224826934,   0.1286667882344096
0.3, -0.2841099993825358,  0.3768000069947038,  -9.890054170567012, 0.01516840037488682,-0.01691068227669335,  0.1093782699787183
0.34, -0.2841099956743014,  0.3768000057910019,  -9.885617660880087, 0.04984676866417864,-0.01947165695744834, 0.07750421082057747
0.37,  -0.2841099949809053,   0.3768000032408206,   -9.881693869445087,  0.07074033877011736,-0.003837853500264595,   0.0572526222463054
0.4,  -0.2841099911358241,   0.3768000035469817,   -9.877955250764037,  0.05780691004972441,-0.001413516584914507,   0.1095394250053105
0.45,    -0.284109986134478,    0.3768000031531717,    -9.877398376410829,   0.07154279648061466,-0.0009571346987680062,    0.1337679315434738
0.47,   -0.2841099922251221,    0.3768000005985842,    -9.876805218552478,    0.0418957669067918,-0.0008743494765147209,    0.1244206748455215
0.49,-0.2841099960315602, 0.3767999967894079, -9.875690260235482,0.02092810425716963,  0.029810269290095,0.09449819179820888
0.53,-0.2841099978702744, 0.3767999981673341, -9.876613819403765,0.01999169934607346,0.03294382567346365,0.06013487818647669
0.56, -0.2841100000233284,  0.3768000012155638,  -9.876066609318016, 0.00290404613275999, 0.06632847591271103,-0.01499856791934485
0.59,  -0.2841099976760481,   0.3767999994349305,   -9.876568577668294,0.0001240485614871272,  0.02461062605698322,  -0.0591251970584916
0.63,   -0.2841099978277641,    0.3767999982259561,    -9.878451280544414,-0.0002894140449711292,  -0.01280363984657616,  -0.03963869593574223
0.66,  -0.284109996404791,  0.3767999965674352,  -9.881737504055026,-0.01595538724288935,-0.06507182794439263,-0.03587061834364352
0.7, -0.2841099959674408,  0.3767999979714236,  -9.883039227460825,-0.03382508757105971,-0.04161630609992824,-0.03511144955545777
0.73, -0.2841099984616833,   0.376800000552062,  -9.882388153937345,-0.02085312105964163, 0.02414245460619865,-0.02087724335955592
0.76,  -0.2841099993061261,   0.3768000007477323,   -9.881809303149511, -0.03438420669998389,  0.06498593780476151,-0.004046215475184581
