time,velX,velY,velZ,wRoll,wPitch,wYaw,wr1,wr2,wr3,wr4,qwbi,qwbj,qwbk,qwb0,X,Y,Z,driftRoll,driftPitch,driftYaw,windX,windY,windZ
0.02,            -0.024434,             0.262045,            -0.059077,  -0.2486743372912269,   0.1054381326397806,    10.24960311196938,                   -0,                    0,                   -0,                    0,-0.004382961778797661, 0.001027146013060689,   0.1700025470410443,   0.9854333405241935,             -1.79553,             -1.24494,             -1.34022,                    0,                    0,                    0,                    0,                    0,                    0
0.06,            -0.024434,             0.262045,            -0.059077,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,-0.004382961778797661, 0.001027146013060689,   0.1700025470410443,   0.9854333405241935,             -1.79553,             -1.24494,             -1.34022,                    0,                    0,                    0,                    0,                    0,                    0
0.09,            -0.024434,             0.262045,            -0.059077,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,-0.004382961778797661, 0.001027146013060689,   0.1700025470410443,   0.9854333405241935,             -1.79553,             -1.24494,             -1.34022,                    0,                    0,                    0,                    0,                    0,                    0
0.12,           -0.0291236,             0.269942,           -0.0474791,   0.1446535865369908,  -0.1559308046059494,    0.294367231641364,                   -0,                    0,                   -0,                    0,-0.001559850003311724, -0.00113168070968564,    0.174827975705608,   0.9845971079976913,             -1.79813,             -1.21826,             -1.34575,                    0,                    0,                    0,                    0,                    0,                    0
0.16,           -0.0291236,             0.269942,           -0.0474791,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,-0.001559850003311724, -0.00113168070968564,    0.174827975705608,   0.9845971079976913,             -1.79813,             -1.21826,             -1.34575,                    0,                    0,                    0,                    0,                    0,                    0
0.2,           -0.0291236,             0.269942,           -0.0474791,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,-0.001559850003311724, -0.00113168070968564,    0.174827975705608,   0.9845971079976913,             -1.79813,             -1.21826,             -1.34575,                    0,                    0,                    0,                    0,                    0,                    0
0.24,           -0.0247644,              0.25366,           -0.0262351,  0.09251157842768741, -0.03709807280856822,   0.4475198735038667,                   -0,                    0,                   -0,                    0,7.732827242573542e-05,-0.001470361521992959,   0.1821681242246029,   0.9832662948427668,             -1.80105,             -1.19198,              -1.3493,                    0,                    0,                    0,                    0,                    0,                    0
0.27,           -0.0247644,              0.25366,           -0.0262351,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,7.732827242573542e-05,-0.001470361521992959,   0.1821681242246029,   0.9832662948427668,             -1.80105,             -1.19198,              -1.3493,                    0,                    0,                    0,                    0,                    0,                    0
0.3,           -0.0247644,              0.25366,           -0.0262351,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,7.732827242573542e-05,-0.001470361521992959,   0.1821681242246029,   0.9832662948427668,             -1.80105,             -1.19198,              -1.3493,                    0,                    0,                    0,                    0,                    0,                    0
0.34,           -0.0247644,              0.25366,           -0.0262351,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,7.732827242573542e-05,-0.001470361521992959,   0.1821681242246029,   0.9832662948427668,             -1.80105,             -1.19198,              -1.3493,                    0,                    0,                    0,                    0,                    0,                    0
0.37,          -0.00400853,             0.215058,          -0.00215427,  0.03029144580542302, -0.02214665741148125,   0.3717027707972329,                   -0,                    0,                   -0,                    0,0.0006517529101951989,-0.001737322393406964,   0.1882566869876326,   0.9821181073239031,             -1.80242,             -1.16854,             -1.35069,                    0,                    0,                    0,                    0,                    0,                    0
0.4,          -0.00400853,             0.215058,          -0.00215427,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,0.0006517529101951989,-0.001737322393406964,   0.1882566869876326,   0.9821181073239031,             -1.80242,             -1.16854,             -1.35069,                    0,                    0,                    0,                    0,                    0,                    0
0.45,          -0.00400853,             0.215058,          -0.00215427,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,0.0006517529101951989,-0.001737322393406964,   0.1882566869876326,   0.9821181073239031,             -1.80242,             -1.16854,             -1.35069,                    0,                    0,                    0,                    0,                    0,                    0
0.47,             0.0272186,              0.160581,             0.0133377,  -0.04097092351215861,    0.1031336173487398,    0.2614852285337893,                    -0,                     0,                    -0,                     0,-0.0003417007428954624,-0.0001792052657862557,    0.1925347573276597,    0.9812900785939163,               -1.8014,               -1.1498,              -1.34998,                     0,                     0,                     0,                     0,                     0,                     0
0.49,             0.0272186,              0.160581,             0.0133377,                     0,                     0,                     0,                    -0,                     0,                    -0,                     0,-0.0003417007428954624,-0.0001792052657862557,    0.1925347573276597,    0.9812900785939163,               -1.8014,               -1.1498,              -1.34998,                     0,                     0,                     0,                     0,                     0,                     0
0.53,             0.0272186,              0.160581,             0.0133377,                     0,                     0,                     0,                    -0,                     0,                    -0,                     0,-0.0003417007428954624,-0.0001792052657862557,    0.1925347573276597,    0.9812900785939163,               -1.8014,               -1.1498,              -1.34998,                     0,                     0,                     0,                     0,                     0,                     0
0.56,             0.0691466,              0.108427,  0.009691709999999999,   0.03831769143656935,    0.1371772766998554,     0.231797177957368,                    -0,                     0,                    -0,                     0,-0.0001636603467990131,  0.002186646875892851,    0.1963233245443329,    0.9805367632223647,               -1.7965,              -1.13654,               -1.3487,                     0,                     0,                     0,                     0,                     0,                     0
0.59,             0.0691466,              0.108427,  0.009691709999999999,                     0,                     0,                     0,                    -0,                     0,                    -0,                     0,-0.0001636603467990131,  0.002186646875892851,    0.1963233245443329,    0.9805367632223647,               -1.7965,              -1.13654,               -1.3487,                     0,                     0,                     0,                     0,                     0,                     0
0.63,             0.0691466,              0.108427,  0.009691709999999999,                     0,                     0,                     0,                    -0,                     0,                    -0,                     0,-0.0001636603467990131,  0.002186646875892851,    0.1963233245443329,    0.9805367632223647,               -1.7965,              -1.13654,               -1.3487,                     0,                     0,                     0,                     0,                     0,                     0
0.66,            0.118216, 0.07161140000000001,          0.00279028,  0.1130019358323185, 0.02515263798219108,  -0.168546445865094,                  -0,                   0,                  -0,                   0,0.001609074644053077,0.002962932837190201,  0.1935625793040756,  0.9810821371327405,            -1.78715,            -1.12776,            -1.34809,                   0,                   0,                   0,                   0,                   0,                   0
0.7,            0.118216, 0.07161140000000001,          0.00279028,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,0.001609074644053077,0.002962932837190201,  0.1935625793040756,  0.9810821371327405,            -1.78715,            -1.12776,            -1.34809,                   0,                   0,                   0,                   0,                   0,                   0
0.73,            0.118216, 0.07161140000000001,          0.00279028,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,0.001609074644053077,0.002962932837190201,  0.1935625793040756,  0.9810821371327405,            -1.78715,            -1.12776,            -1.34809,                   0,                   0,                   0,                   0,                   0,                   0
0.76,             0.170312,            0.0318455,           -0.0117589,  -0.0672588807194795, -0.06115162460090091,   -0.137287598961874,                   -0,                    0,                   -0,                    0,0.0007105784742908629, 0.001744415471768134,   0.1913218697369613,   0.9815255443712338,             -1.77247,             -1.12256,             -1.34859,                    0,                    0,                    0,                    0,                    0,                    0
0.79,             0.170312,            0.0318455,           -0.0117589,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,0.0007105784742908629, 0.001744415471768134,   0.1913218697369613,   0.9815255443712338,             -1.77247,             -1.12256,             -1.34859,                    0,                    0,                    0,                    0,                    0,                    0
0.83,             0.170312,            0.0318455,           -0.0117589,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,0.0007105784742908629, 0.001744415471768134,   0.1913218697369613,   0.9815255443712338,             -1.77247,             -1.12256,             -1.34859,                    0,                    0,                    0,                    0,                    0,                    0
0.86,             0.202403,          -0.00582202,           -0.0102439,   0.1490141171401735, -0.08936505870961924,  0.09414305985257422,                   -0,                    0,                   -0,                    0, 0.003432030195300929,0.0007630634708472231,   0.1928621428237244,   0.9812195639959078,             -1.75374,             -1.12149,             -1.34989,                    0,                    0,                    0,                    0,                    0,                    0
0.9,             0.202403,          -0.00582202,           -0.0102439,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0, 0.003432030195300929,0.0007630634708472231,   0.1928621428237244,   0.9812195639959078,             -1.75374,             -1.12149,             -1.34989,                    0,                    0,                    0,                    0,                    0,                    0
0.93,             0.202403,          -0.00582202,           -0.0102439,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0, 0.003432030195300929,0.0007630634708472231,   0.1928621428237244,   0.9812195639959078,             -1.75374,             -1.12149,             -1.34989,                    0,                    0,                    0,                    0,                    0,                    0
0.96,            0.235909,          -0.0474162,           0.0101741, 0.05473649240227058, 0.01144329836459062,  0.2435781504083301,                  -0,                   0,                  -0,                   0,0.004285780455965279,0.001143553581588026,  0.1968423113574245,   0.980425126580585,            -1.73176,            -1.12399,             -1.3498,                   0,                   0,                   0,                   0,                   0,                   0
1,            0.235909,          -0.0474162,           0.0101741,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,0.004285780455965279,0.001143553581588026,  0.1968423113574245,   0.980425126580585,            -1.73176,            -1.12399,             -1.3498,                   0,                   0,                   0,                   0,                   0,                   0
1.03,            0.235909,          -0.0474162,           0.0101741,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,0.004285780455965279,0.001143553581588026,  0.1968423113574245,   0.980425126580585,            -1.73176,            -1.12399,             -1.3498,                   0,                   0,                   0,                   0,                   0,                   0
1.07,             0.275383,            -0.114629,            0.0069274,-0.003625921521018257,  0.03134267506719173,  0.06089453760208161,                   -0,                    0,                   -0,                    0, 0.004122033004886123,  0.00164799447981254,   0.1978350294583115,   0.9802252772079132,              -1.7064,             -1.13214,             -1.34881,                    0,                    0,                    0,                    0,                    0,                    0
1.11,            0.275383,           -0.114629,           0.0069274,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,0.004122033004886123, 0.00164799447981254,  0.1978350294583115,  0.9802252772079132,             -1.7064,            -1.13214,            -1.34881,                   0,                   0,                   0,                   0,                   0,                   0
1.14,            0.275383,           -0.114629,           0.0069274,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,0.004122033004886123, 0.00164799447981254,  0.1978350294583115,  0.9802252772079132,             -1.7064,            -1.13214,            -1.34881,                   0,                   0,                   0,                   0,                   0,                   0
1.18,            0.275383,           -0.114629,           0.0069274,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,0.004122033004886123, 0.00164799447981254,  0.1978350294583115,  0.9802252772079132,             -1.7064,            -1.13214,            -1.34881,                   0,                   0,                   0,                   0,                   0,                   0
1.21,            0.348793,           -0.166469,            0.014309,-0.01262187208457257, 0.02057141049509378,-0.05649630788705685,                  -0,                   0,                  -0,                   0,0.003849823924763481,0.001938829496221941,  0.1969108355754291,  0.9804119249728244,            -1.67512,            -1.14655,            -1.34784,                   0,                   0,                   0,                   0,                   0,                   0
1.25,            0.348793,           -0.166469,            0.014309,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,0.003849823924763481,0.001938829496221941,  0.1969108355754291,  0.9804119249728244,            -1.67512,            -1.14655,            -1.34784,                   0,                   0,                   0,                   0,                   0,                   0
1.27,            0.348793,           -0.166469,            0.014309,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,0.003849823924763481,0.001938829496221941,  0.1969108355754291,  0.9804119249728244,            -1.67512,            -1.14655,            -1.34784,                   0,                   0,                   0,                   0,                   0,                   0
1.3,              0.375086,             -0.205068,             0.0209574,   -0.1689721316696538,    0.3755527925942067,     0.158650429006285,                    -0,                     0,                    -0,                     0,-0.0001636801128746634,  0.007520455143045962,     0.199493667264403,    0.9798702427794518,              -1.63821,              -1.16528,              -1.34604,                     0,                     0,                     0,                     0,                     0,                     0
1.34,              0.375086,             -0.205068,             0.0209574,                     0,                     0,                     0,                    -0,                     0,                    -0,                     0,-0.0001636801128746634,  0.007520455143045962,     0.199493667264403,    0.9798702427794518,              -1.63821,              -1.16528,              -1.34604,                     0,                     0,                     0,                     0,                     0,                     0
1.38,              0.375086,             -0.205068,             0.0209574,                     0,                     0,                     0,                    -0,                     0,                    -0,                     0,-0.0001636801128746634,  0.007520455143045962,     0.199493667264403,    0.9798702427794518,              -1.63821,              -1.16528,              -1.34604,                     0,                     0,                     0,                     0,                     0,                     0
1.41,             0.369707,            -0.211812,             0.026999, -0.05409382726510122,    0.199875455004241,   0.1955641426859646,                   -0,                    0,                   -0,                    0,-0.001746252684122708,  0.01059910769260873,   0.2026855374488973,   0.9791849582314543,             -1.60116,             -1.18637,              -1.3437,                    0,                    0,                    0,                    0,                    0,                    0
1.44,             0.369707,            -0.211812,             0.026999,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,-0.001746252684122708,  0.01059910769260873,   0.2026855374488973,   0.9791849582314543,             -1.60116,             -1.18637,              -1.3437,                    0,                    0,                    0,                    0,                    0,                    0
1.47,             0.369707,            -0.211812,             0.026999,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,-0.001746252684122708,  0.01059910769260873,   0.2026855374488973,   0.9791849582314543,             -1.60116,             -1.18637,              -1.3437,                    0,                    0,                    0,                    0,                    0,                    0
1.5,             0.352461,            -0.210814,            0.0376762,  -0.2205002202145682,   0.2037113396342741,    0.317143778379889,                   -0,                    0,                   -0,                    0,-0.006102335358253465,  0.01314655459206629,   0.2078978770815807,   0.9780431495136117,             -1.56491,             -1.20745,             -1.34036,                    0,                    0,                    0,                    0,                    0,                    0
1.54,             0.352461,            -0.210814,            0.0376762,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,-0.006102335358253465,  0.01314655459206629,   0.2078978770815807,   0.9780431495136117,             -1.56491,             -1.20745,             -1.34036,                    0,                    0,                    0,                    0,                    0,                    0
1.57,             0.352461,            -0.210814,            0.0376762,                    0,                    0,                    0,                   -0,                    0,                   -0,                    0,-0.006102335358253465,  0.01314655459206629,   0.2078978770815807,   0.9780431495136117,             -1.56491,             -1.20745,             -1.34036,                    0,                    0,                    0,                    0,                    0,                    0
1.6,            0.314874,            -0.21175,            0.039539, -0.2571592554497973, 0.08492248541428811,  0.3717551306747927,                  -0,                   0,                  -0,                   0,-0.01067247966585516, 0.01357382165187533,   0.214013848743091,  0.9766780032793378,            -1.53162,            -1.22865,            -1.33665,                   0,                   0,                   0,                   0,                   0,                   0
1.63,            0.314874,            -0.21175,            0.039539,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,-0.01067247966585516, 0.01357382165187533,   0.214013848743091,  0.9766780032793378,            -1.53162,            -1.22865,            -1.33665,                   0,                   0,                   0,                   0,                   0,                   0
1.66,            0.314874,            -0.21175,            0.039539,                   0,                   0,                   0,                  -0,                   0,                  -0,                   0,-0.01067247966585516, 0.01357382165187533,   0.214013848743091,  0.9766780032793378,            -1.53162,            -1.22865,            -1.33665,                   0,                   0,                   0,                   0,                   0,                   0
1.7,            0.278322,           -0.192777,           0.0447122, -0.1389285575245991,  0.1727300000821227, 0.06293657282691581,                  -0,                   0,                  -0,                   0,-0.01356586825898399, 0.01587576548542594,  0.2150861845114537,   0.976371783963945,            -1.50204,            -1.24886,            -1.33223,                   0,                   0,                   0,                   0,                   0,                   0
