time,wr1,wr2,wr3,wr4
0.1,-529.4327463161026, 529.4001081236522,-529.3067831975812, 529.3394213753746
0.14,-530.5649684614984,530.1349063187255,-532.336177015149,530.7680285654798
0.2,-530.6862117514543, 530.1416869523649,-532.0551090429274, 530.5996030425221
0.22,-530.8721621563103, 530.0697728638689,-531.8043912876836, 530.5640515733419
0.24,-530.6201318376156, 530.1441447509434,-532.1575519549419, 530.6309118324161
0.31, -530.990173422686, 530.1806829892582,-531.5978758635814, 530.4417996254986
0.36,-531.2820812710173,530.1817306449957,-531.262669121629,530.3295578970763
0.42,-531.3487325485044, 530.2249217200028,-531.1530558750185, 530.2537746559369
0.48,-531.2515249157167, 530.2902190209713,-531.1401380364956, 530.2487147125946
0.51,-531.2583715794045, 530.3757688888696,-531.0409931191821, 530.2130279152647
0.57,-531.1656118580133, 530.3292091601974,-531.1154314236639, 530.2281078216158
0.63,-531.2953411460696, 530.3139624113605,-531.0540304250089,   530.13442126454
0.67,-531.3746744322289, 530.2764071187199,-531.0304975339756, 530.0657316903139
0.7,-531.4312723904289, 530.2368720526952,-531.0315009947168, 529.9933104059344
0.73,-531.3751021576699, 530.1791491154154,-531.1246694968446, 529.9577890920169
0.81,-531.4456925477393, 530.0921172000146,-531.2110026742233, 529.8422967282912
0.85,-531.5073220192452, 530.0896790539067,-531.1275575215687, 529.8125068022345
0.92, -531.610724703212, 530.0291116164249,-531.1256648717534, 529.7118440250138
0.96,-531.5642078983353, 529.9625916565021,-531.2194724513369, 529.6818072175322
1.01,-531.6155694630372, 529.8838133924255,-531.1045641572761, 529.7722525884445
1.09,-531.7580014940813, 529.8595847405511,-531.2586623536408, 529.4561066993659
1.12,-531.5214790008761, 529.9594940877942,-531.0272043740333, 529.7855667170809
1.2,-531.4807750641824, 529.8124571079157,-531.4007584627151, 529.5630955871943
1.25,-531.4461061619077, 529.8475264790792,-531.2020369389531, 529.7491033809058
1.31,-531.6616273851295, 529.7720864416686,-531.3135308527524, 529.4790620050494
1.38,-531.5286925099323, 529.8694362682363,-531.1959652279438, 529.6385005581448
1.43,-531.6195639769344,  529.748957138323,-531.3019060381711, 529.5672017933207
1.5,-531.7653932127392,   529.54607819918,-531.2534011598981,  529.667780059723
1.57,-531.7065482906501, 529.5826294574277,-531.2628418170501, 529.7059262917135
1.63,-531.2938885314516, 530.3093606087523,-530.8199389564646, 529.8806702234015
1.7,-531.0832909936917, 530.4914537088283,-530.4918561815751, 530.2725942805317
1.76,-531.4651507105229, 529.8915364382844,-531.1029821946222, 529.8543558408841
1.85,-531.4432398388589, 529.8126579220035,-531.2686105000466, 529.8228737279078
