time,accX,accY,accZ,wRoll,wPitch,wYaw,Pa
0.14,              -0.28411,                0.3768,    -9.227607854719201, 2.951772632053669e-14,-3.097786885478468e-15,-7.714133256374212e-12,     100014.4262859498
0.15,              -0.28411,                0.3768,    -9.227513034623795, 4.770897948401839e-09, 1.156689227912453e-08,-2.804676613398353e-12,     100014.4207489716
0.21,  -0.2841100064994282,   0.3768000028813741,   -9.493837317434306,0.0001172730160895126, 0.001030071663742503,-0.001051645600591245,    100014.4513479485
0.27,   -0.2841100021681308,    0.3768000008946788,    -9.276901958639098,  4.12294552980678e-06,-4.155424081134469e-07, -0.001075112544074674,     100014.4140504882
0.31,   -0.2841100156663749,    0.3768000039770916,    -9.527128595763681,  -0.00115862954042575,  -0.04221164016804133,-0.0007615398347074773,     100014.4363725545
0.38,   -0.2841100359016321,    0.3768000083035787,    -9.690048722754248,-0.0004856421475684294,  -0.08388354529581347,-0.0004957172440688805,     100014.4757830033
0.44,   -0.2841100587759178,    0.3768000150175714,    -9.797131874976575,-0.0005952054960798363,   -0.1038250873154867,-0.0003134268787113868,     100014.5044743086
0.52,   -0.2841101082356856,    0.3768000342710932,    -9.914672785687253, -0.003242743594757671,   -0.1077079612128002,-9.289625596961687e-05,     100014.5605962099
0.59,  -0.2841101225010129,   0.3768000407153032,   -9.945538469325021,-0.001391803490436103, -0.09237624619366459,0.0001549582868153696,    100014.5851418189
0.64,   -0.2841101549456894,    0.3768000517923034,     -9.96573490263577,-0.0003250909890850664,    -0.103164111655901,  0.000188420225509788,     100014.6110145014
0.71,  -0.2841102498117724,   0.3768000870025078,   -9.987276931579848,  0.00151345439683153,  -0.1015517050560183,0.0001400543347781091,     100014.656561993
0.75,  -0.2841102945809322,   0.3768001060859821,   -9.992412501979857, 0.001459711481273214, -0.08382855485615648,2.008765717955376e-05,    100014.6720451483
0.82, -0.2841103679851202,  0.3768001373493238,  -9.995439926838586,  0.0018171023767118,-0.08015534307470359,-0.01408790222074609,   100014.6895602103
0.88,  -0.2841104709354078,   0.3768001713830422,   -9.997158125014868, 0.002310836044204922, -0.07943489146303184,-0.002819474755944096,    100014.7049561992
0.95,   -0.2841105642414584,    0.3768002051169441,    -9.997901088867044,  0.002907769006319951,  -0.07924927239419341,-0.0004893145001664982,     100014.7141390912
1.01,   -0.2841106911595675,    0.3768002542117689,    -9.998024620273451,  0.003165001468600412,  -0.06322034991847401,-7.787515511593893e-05,     100014.7254374944
1.05, -0.2841108308118017,  0.3768002923313045,  -9.997810621821133,  0.0182144397783769,-0.05920445273008023, 0.01411026449778567,   100014.7348374644
1.11, -0.2841109529548729,  0.3768003615956795,  -9.997355956044423,0.005720202531639911,-0.05861290555710275,-0.01109735412675371,   100014.7398010045
1.18,   -0.284111163099363,   0.3768004301646969,   -9.996881873102486,  0.01719427080646805, -0.04295994119986992,-0.002279020458992902,     100014.746051774
1.23,  -0.2841112299265516,   0.3768004628735862,    -9.99639090352964, 0.005139017523325656,-0.009743294756807205,0.0001288582284963653,    100014.7499836499
1.3,   -0.284111411535077,    0.376800526162795,   -9.995944018142751,  0.01730674200462108,-0.004652693125795393,0.0001251538375055137,    100014.7488397182
1.38, -0.2841117705383382,  0.3768006482617971,  -9.995905595312708,0.007105762190621252,0.001451251703631934,0.000561558842527344,   100014.7458828715
1.43,  -0.2841117677004609,   0.3768006504468708,   -9.995895504199472,0.0006160137144697122,0.0001262449229772251,6.469697917936094e-05,    100014.7459519474
1.5,  -0.2841118916363292,   0.3768006840600213,   -9.996258584607352,  0.01104668365271321, 0.008645092107317721,0.0005067110447573513,    100014.7424964227
1.57,  -0.2841123304662189,   0.3768007948335507,   -9.997443510980863,  0.03556147667687486,  0.01858172419022173,0.0005675494380420023,    100014.7260345607
1.65,  -0.2841125292878569,    0.376800862384498,   -9.998521508427913, 0.002150925140680769,  0.01061036407476269,0.0002685153498908775,    100014.7161310637
1.73, -0.2841121846618462,  0.3768007118435516,  -9.999203236934225, 0.01242544681402978, 0.01037413176138139,0.001142343898585822,   100014.7027284579
1.81, -0.2841117458778263,  0.3768005577890847,  -10.00067839044494, 0.01668583094931396, 0.02676547689834601,0.001709317398348864,   100014.6891670466
1.88,  -0.2841119871709198,   0.3768006249642851,   -10.00186956433671,  0.01742143494425617,  0.04538949649991274,0.0003294661109790029,    100014.6740246178
1.97,-0.2841122382911314, 0.3768006670338342, -10.00303316587967,0.01687865052205142,0.06178832000878859,0.01407703939689199,  100014.6575641927
2.03, -0.2841123001710458,  0.3768006732209013,  -10.00494183110802, 0.01632880855062444, 0.06194788548733113,0.003101481686887958,   100014.6387991465
2.1,  -0.2841123355452117,   0.3768006653076177,   -10.00699137881119,  0.01554320839883795,  0.05946826953553637,0.0009383663077052018,    100014.6182417275
2.18,  -0.2841121715679721,   0.3768005843598917,   -10.00902103696616,  0.02944073284023287,  0.07280465415534984,0.0007520324842474267,    100014.5963429478
2.27,  -0.2841119300823275,   0.3768005089514511,   -10.01169785030511, 0.001170088200277772,  0.07461890799551653,0.0007876303490932431,    100014.5710149991
2.36,  -0.2841110481594138,   0.3768002580585593,   -10.01701873003335,-0.008950295043732352,  0.07527167691041922,  0.01571784122065282,    100014.5135768621
2.43,  -0.2841108044374455,   0.3768001852843353,   -10.01841870414828,-0.003739318141846084,  0.07166939572713955,  0.00221174015899182,    100014.4904728238
2.5,  -0.2841109105391544,   0.3768001997895224,    -10.0207979634651,  0.01207145071930342,  0.08559116088574024,0.0003094079951954689,    100014.4585510713
2.59,   -0.2841110938242655,    0.3768002305841235,    -10.02245168212762,-0.0007317501452174989,   0.07241557245707132,-0.0001648824073558295,     100014.4245307464
2.68,   -0.2841111546497931,    0.3768002318880139,    -10.02362432836293,  -0.00514574050761978,   0.06824112233769848,-0.0001785038118671596,     100014.3948003306
2.77, -0.2841104714451925,  0.3768000860056946,  -10.02642664122587,-0.01015527160989696, 0.06537441795434581, 0.01485144962413389,   100014.3104604594
2.85,  -0.2841103437170839,   0.3768000597040969,   -10.02800197428973,-0.005670806326361783,   0.0510288806391216,  0.01723335553916858,    100014.2693353075
2.93, -0.2841102164541289,  0.3768000351286555,  -10.02778194180241,-0.02031944087378117, 0.03434214249382565,0.003354716078770615,   100014.2397384437
3,  -0.2841104025735792,    0.376800056932161,   -10.02933581760883,  -0.0120006921915139,  0.03339378824816674,0.0002990359482703863,    100014.1394605025
3.09,   -0.2841108098474259,    0.3768001076848139,    -10.02944650053467,  -0.02161840070967553,   0.06785164120928465,-0.0004858257344008098,     100014.0917633146
3.17,   -0.2841110998106655,    0.3768001384658596,    -10.02783854080627,   -0.0225360989499942,   0.07064545788166979,-0.0004798442148245138,     100014.0617981688
3.26, -0.2841112441133741,  0.3768001376486088,  -10.02771941797234,-0.03866693171278925, 0.04657691329227652, 0.01381533966165724,   100013.9438228878
3.32,  -0.284111228699974,  0.3768001305133826,  -10.02716827902798,-0.01929934693867319,  0.0518582828416267,0.001641590344137744,   100013.9557493275
3.38, -0.2841110311016532,  0.3768001014988791,  -10.02596734381587,-0.01105236068397675, 0.04634634198193122,0.001126132591503067,     100013.91167086
3.46,      -0.284111103284,   0.3768000989931727,   -10.02540891947831, -0.01633818038539117,  0.03081359914029837,0.0001544740205373922,    100013.8488520805
3.55,  -0.2841111306485015,   0.3768000834892843,   -10.02419136144984, -0.02266048698968906,  0.03640166667536716,1.418318453072113e-05,    100013.7103922431
3.64,   -0.2841111634631752,     0.376800080306473,    -10.02233021503618,  -0.02065086141954765,   0.01237230924460277,-6.999418434969403e-05,     100013.6708538001
3.73,   -0.2841111980233099,    0.3768000735017045,    -10.02171510454689,  -0.02015106781091167,  0.009929480407278302,-3.457381845139255e-05,      100013.601214406
3.81, -0.2841113592234435,  0.3768000735309354,  -10.01919879078595,-0.05126596695342202, 0.00833406400629012, 0.01395288556866462,   100013.4476798595
3.89,  -0.284111416466121,  0.3768000729824752,  -10.01614794711628,-0.03401529300105642, 0.02894723133311406, 0.01696138526078409,   100013.4128526064
3.98, -0.2841114695389332,  0.3768000625184664,  -10.01453949296203,-0.01528794401053534, 0.01562868346014623, 0.00324369232491459,   100013.3380069535
4.06, -0.284111563563035, 0.3768000631456337, -10.01234031936281, -0.012854782602185,0.01083774355245709,0.01462183030068315,  100013.2612159989
4.15, -0.2841115147265695,  0.3768000546134252,  -10.00738371641949,-0.02807159588194207,0.002310811308904035,0.002986972635122796,      100013.1345855
4.21,  -0.2841116235789106,   0.3768000587548299,   -10.00611576629776, -0.03156664708911634,-0.006739233807571039,  0.01568881583024205,      100013.05424655
4.27,    -0.28411161246608,   0.3768000472475397,   -10.00407281639496, -0.01611742978519297,-0.007226436690162983, 0.003116234827217412,    100012.9723480513
4.33,  -0.2841117270661921,    0.376800056853937,   -9.999162375673809, -0.00848382227423921, -0.01123967279277074,0.0005614682256205306,    100012.8425738417
4.41,  -0.2841117968236311,   0.3768000593383031,   -9.997418276325982, -0.01325245835906732, -0.00585812793760266,6.940797971045855e-05,    100012.7573887277
4.47,  -0.2841118819980179,   0.3768000583765735,   -9.995251660540168, 0.001024693206283007, -0.02003137248680318,1.113428502932883e-05,    100012.6719111917
4.53, -0.2841119490628873,  0.3768000810830442,  -9.993318897797172,0.004116373028127847,-0.02276821544805669,4.65369502954541e-05,   100012.6261612471
4.61,  -0.2841119643843287,   0.3768000978782678,   -9.989951171652779,-0.008494521511280941, -0.02485321505988886,  0.01432951274923166,    100012.4218731077
4.69, -0.2841119209065751,  0.3768000990728704,  -9.988343808314907,0.003921479435994201,-0.03596765558642667,  0.0172728932290487,   100012.3330278456
4.78, -0.2841118479849978,  0.3768001139922125,  -9.986444630303255,0.006099651353339559,-0.02118861004191273, 0.01763703553686709,   100012.2950777921
4.86, -0.2841118263246267,  0.3768001186045037,  -9.984897901045676,0.005642449813373942,-0.01733222271886049,0.003599122969406308,   100012.1975808982
4.94, -0.2841118846871425,  0.3768001327319996,  -9.983327941196325,0.005333247832589855,-0.01740401940863815, 0.01480039951814343,   100012.0986539579
5.03, -0.2841119481819914,  0.3768001611767264,  -9.980365102040418, 0.01061387508474238,-0.01837907219629015,0.003067932639822591,    100011.940733382
5.08, -0.2841120242403957,  0.3768001834239401,  -9.979197106527378,0.006336263947580019,-0.03369052798017733, 0.03119823060587099,    100011.840450249
5.1,  -0.2841120387339993,   0.3768001819957035,   -9.979302737436774,0.0009318153079577906, -0.01986116129384045, 0.005980636777391553,    100011.8605144443
5.19, -0.2841120941672345,  0.3768002076741473,  -9.977344422204988, 0.01081660105686528,-0.01621940264840116,0.003609615783659523,   100011.6244604607
5.27,  -0.2841122174599341,   0.3768002317412245,   -9.977117905882567,   0.0227355876695893, -0.01510864994739371,0.0005475323129226356,    100011.5623294357
5.37,  -0.2841125324662874,   0.3768002846629007,   -9.976075582517092,   0.0431387214894759, -0.01224914145756176,0.0001116275562724003,    100011.3212863799
5.43, -0.2841125984750857,  0.3768003069481843,  -9.975851740779349, 0.03747202472572127,0.002357436832470063, 0.01555385163365429,   100011.2160124861
5.52, -0.2841124403450172,  0.3768003011639855,  -9.975854546233411, 0.03526665898671154,-0.01077454741348507,0.003435782182173293,   100011.1588157612
5.57,  -0.2841124626720649,   0.3768003042240918,   -9.976184289151732,  0.03495935010436332, -0.01645653136722787,0.0006678021905549824,    100011.1764657239
5.65,  -0.2841123752314044,   0.3768002999091882,   -9.977494102893733,  0.02585963043815943,-0.001213985692371551,0.0009881549103233887,    100010.9569733139
5.74,  -0.2841123829122639,   0.3768003040884689,   -9.977954179995939,  0.01817876790530818, 0.005739499620985198,0.0003397075993673337,    100010.8337912415
5.81, -0.2841124889925329,  0.3768003149366315,  -9.978362478839912, 0.01788740641602543,0.007044682667746236, 0.01425744201710066,   100010.7103061095
5.9, -0.2841125801840858,  0.3768003177086394,  -9.979710946855365, 0.01842762312521884,0.007099473136348156,0.002989296771141536,   100010.6172964137
5.98, -0.2841127811417813,  0.3768003377259858,  -9.980242792487957,  0.0185420509471292,0.007125726976335369,0.000604887312468335,   100010.4871983433
6.07,  -0.2841132360580291,   0.3768003776934025,   -9.981888337353018,  0.01876147753424516,  0.01452519345761592,0.0001685453932148113,    100010.2108857918
6.16,-0.2841131991917037, 0.3768003314945872, -9.979998701289468,0.03306807307930657,0.03234351816793542,0.01586165244672789,  100010.0187213985
6.25, -0.2841132552374104,  0.3768003310854086,  -9.980719459734694, 0.01596124206510845, 0.04088084907377654,0.002091427860648726,   100009.8945645171
6.33, -0.2841130447360267,  0.3768002745233814,  -9.980733532031067,0.009820955373923508, 0.04340982755501843,0.001153701401349009,   100009.6175306553
6.41,  -0.2841127989388159,   0.3768002094782497,   -9.981952897985485,  0.01113900999377674,  0.02191691390065734,0.0008849462212147392,    100009.3455962742
6.47,-0.2841125330478603, 0.3768001759106432, -9.977345200441105, 0.0169224328860826,0.03378339410707031, 0.0155234069515259,  100009.4966459711
6.55, -0.2841124247427047,  0.3768001273769701,  -9.976899416712527,0.009653294828275901, 0.04077751456883872,0.008827970329458779,   100009.2073473307
6.64,-0.2841125545581901, 0.3768001043988968, -9.976144322861547,0.02811125042603735,0.05252435160520418,0.01642955530200057,  100009.0837095288
6.73,-0.2841123680779027, 0.3768000716001886, -9.975151211870873, 0.0145235578841463,0.03677677868606039,0.01760590223819892,   100009.020492553
6.8,  -0.2841120860098704,   0.3768000400737558,   -9.975151323394702,-0.005119323555701455,  0.03201010698105132, 0.003873186697450468,    100008.8837432684
6.88, -0.2841116794223469,  0.3768000089702329,  -9.975559621626262,0.006440791879820489, 0.03188508807609382, 0.01539813026321122,    100008.744697092
6.95, -0.2841114639195694,   0.376799971367498,  -9.976364749318972, -0.0127189347122187, 0.04628982614362764,0.003389164493900658,   100008.4817109322
7.03,  -0.2841116217273587,   0.3767999448131984,   -9.976827309148034,-0.007854976206732688,  0.04897839244459845,  0.01566358181177585,    100008.3438700942
7.1, -0.2841115051127533,  0.3767999271683939,  -9.977611821968988,-0.00711063657862097, 0.03327614858869566, 0.01729690700212472,   100008.2041039342
7.18, -0.2841112793611708,  0.3767999245853492,  -9.976633350289912,-0.02256351868130355, 0.04456180011914224,0.003590170733259536,   100008.1103794436
7.22, -0.2841111670104912,  0.3767999133363706,  -9.976653692616102,-0.01056826158597479,  0.0175894576502799, 0.01492133799792309,    100007.959259529
7.31, -0.2841112213110589,  0.3767998893763669,   -9.97702121768998,-0.02251698280215824, 0.01243507370948893,0.002839460431814502,   100007.8046440819
7.4, -0.2841113728503004,  0.3767998470087493,  -9.976919875157682,-0.03095273170091998,  0.0121967716669946, 0.01456656437774214,   100007.5037461344
7.46, -0.2841117010672763,  0.3767997869446945,  -9.976906820876216,-0.05558596534118888, 0.01592536502719642, 0.01682810606763771,   100007.3524905618
7.54, -0.2841119474637494,  0.3767997250733324,  -9.977034141186314,-0.04201045481044116, 0.01625809173230348,0.003070849242002626,   100007.1988169824
7.64,  -0.2841121590429087,   0.3767996818734669,   -9.975423415288468, -0.03666197753445727,  0.01577813219032309,0.0003932389676444414,    100007.0866110229
7.7, -0.2841122226090436,  0.3767996429238063,  -9.974969274818543,-0.03559812815179501, 0.01555106752692376, 0.01417590036871605,   100006.9237896024
7.79, -0.2841121304013363,  0.3767996290742959,  -9.974803504785688,-0.02049185667584081, 0.01476125763251835, 0.03109782599362761,   100006.7588381023
7.87, -0.2841118529509389,  0.3767996552311309,  -9.973539414578021,-0.03533884222322534, -0.0043132223684554,0.006531085641457803,   100006.4354461752
7.95, -0.2841119393394344,  0.3767996181639138,  -9.973169230837582,-0.05180247061997025, 0.01369405678397611, 0.01616011277607483,   100006.2740704781
8.03, -0.2841119833577073,  0.3767995883270366,  -9.972712562357582, -0.0522866175109514,0.001228905919136182, 0.01725529785117006,    100006.109299701
8.11,  -0.2841119572654333,   0.3767995903018579,    -9.97070371647129, -0.04990372917147068,-0.002316191623803587,  0.00340025594108499,    100005.9830073346
8.21, -0.2841117199906101,  0.3767996099327766,   -9.96802689596106,-0.02779060583982832, 0.01063971502858773, 0.01509205878710273,   100005.6186972362
8.26, -0.2841114802897323,  0.3767996593548792,  -9.964982104881678,-0.04598037857211655,-0.00298784408311947,0.002030851328633977,   100005.5146377052
8.35,  -0.2841114979239396,   0.3767996397700374,   -9.963952921112174, -0.03290183558419435,-0.005287684343742815,0.0004083051597869885,    100005.3414905391
8.44,  -0.2841115650700844,   0.3767996101240177,   -9.962511241077177, -0.02912422334789785,-0.004587399854859112,2.312883468557305e-05,    100005.1660761957
8.51,  -0.2841115526818199,   0.3767996014786416,   -9.961320240435095, 0.001161485122859564,-0.004050175135900362,  0.01413069233627892,    100004.9879784279
