time,velX,velY,velZ,wRoll,wPitch,wYaw,wr1,wr2,wr3,wr4,qwbi,qwbj,qwbk,qwb0,X,Y,Z,driftRoll,driftPitch,driftYaw,windX,windY,windZ
0.13,  0.001137535944351599,-0.0001146430838710739,   0.03081306565866239,                     0,                     0,                     0,                  -520,                   520,                  -520,                   520,-0.0005254838786393496, -0.001854103544788242,    0.1748279757056081,    0.9845971079976915,              -1.79813,              -1.21826,              -1.34575,                     0,                     0,                     0,                     0,                     0,                     0
0.14,  0.002275071933268046,-0.0002292861722334797,   0.06162611969633154, 2.951772632053669e-14,-3.097786885478468e-15,-7.714133256374212e-12,    -523.1442487720342,     523.1333693745507,    -523.1022610658604,     523.1131404584582,-0.0005254838786393496, -0.001854103544788242,    0.1748279757056081,    0.9845971079976915,    -1.798092082135188,    -1.218263821436129,    -1.344722897811378,                     0,                     0,                     0,                     0,                     0,                     0
0.2,  0.003462202392646921,-0.0003489282783550848,   0.08179233499171076, 0.0001172581199478631,  0.001030035547878252, -0.001051645599989514,    -525.6240451774905,     525.4734379349721,    -526.1864552152501,     525.6709922570815,-0.0005269104964608434, -0.001859132156949728,    0.1748279739449162,    0.9845970980656339,    -1.798015950561069,    -1.218271494132504,    -1.342612955188918, 1.489614164952763e-08, 3.611586425065713e-08,-6.017314603952934e-13, -1.30336935466794e-05, 1.313560943677031e-06,-5.036505784908501e-07
0.22,  0.004701423250354659,-0.0004733077178225634,   0.09314903223817009, 7.774474541389422e-05,  -0.01319255655445275,-0.0008648165498769726,    -527.3133809638215,     527.0315242863743,    -528.1449132159541,     527.3160143357286,-0.0005292794140633045, -0.001868444073446036,    0.1748278539704261,    0.9845971004711226,    -1.797899533411363,    -1.218283205388093,    -1.339936289232992, 6.494512253531992e-09,-1.813663110967721e-07,  2.97992957887753e-06,-2.833193462838173e-05, 2.925537322855414e-06,-1.034376488462013e-06
0.24,  0.001137547705835277,-0.0001146508751108509,    0.0308130662414924,  4.12294552980678e-06,-4.155424081134469e-07, -0.001075112544074674,    -523.6240540521035,      523.356590954623,    -523.9347970958945,     523.5213505244473,-0.0005255002761106697, -0.001854120771925705,    0.1748279756774962,    0.9845971079614909,    -1.798132560548227,    -1.218258294419151,    -1.345752988274762,                     0,                     0,                     0,                     0,                     0,                     0
0.31,  0.002638617808261729,-0.0002363438070915106,   0.04912342443079247, -0.001158658337308865,  -0.04200812890276175,-0.0007969818289132358,     -525.981733093803,     525.6466310057413,    -526.7075769047009,     525.9210719411668,-0.0007154316415932889, -0.002913347165860462,    0.1748334795715393,    0.9845934465487598,    -1.798094334601862,    -1.218262410560041,    -1.343873717395165, 2.879688311493163e-08,-0.0002035112652795878, 3.544199420575845e-05,-1.246803702830883e-05, 1.258214465025657e-06,-4.810804859127149e-07
0.37,  0.004646643574319738,-0.0003740141888340068,   0.05924892956058544,-0.0004848066078062377,   -0.0836619682158191,-0.0005350822422842605,    -527.6516193619115,     527.1639952385215,      -528.35489300523,     527.4395134361229,-0.0009356892403993498, -0.004101738723380555,    0.1748517770168586,    0.9845857790457555,    -1.798003706317282,    -1.218271795558435,    -1.341260216470654, 9.700084918126244e-07,-0.0002227313962648498, 4.036118668080092e-05, -4.87160565455299e-05, -4.24737335874361e-06,-1.182041187607642e-06
0.42,  0.007036017200876473,-0.0004694441385204962,   0.06405987329906143,-0.0005961399468025418,   -0.1036012347214267,-0.0003547633971360313,    -528.8636467083047,     528.1722217412462,    -529.3271859137166,     528.4054288053505, -0.001138298461275672, -0.005348864979085612,    0.1747954792753363,    0.9845895765977588,    -1.797815317203858,    -1.218036231828743,     -1.33814030567743, 9.344507227054923e-07,-0.0002238525940599616, 4.133651842464456e-05,-9.140970123385141e-05,-9.936053218186007e-06,-1.915640610691895e-06
0.48,   0.01064653788435438,-0.0005936754489750846,   0.06536057726002537, -0.001551982670858407,    -0.101063463249213,-0.0002000323908088842,    -529.6940472588027,     528.8577603766083,      -529.93533846693,     529.0218002032417,  -0.00139822973708371, -0.006803841456143916,    0.1747938194624564,    0.9845805570763463,    -1.797574042686305,    -1.218052246330654,    -1.335594152874655, 1.012443034353744e-06,-0.0002233752496706342, 4.144419732856513e-05,-0.0001351187316672102,-1.027144315166241e-05,-2.747752694663988e-06
0.51,   0.01520798144917385,-0.0007167889712543185,   0.06435917686719735, -0.003243756037792025,   -0.1074845859631295, -0.000134340453298182,    -530.2132064777741,      529.335246591396,    -530.3369383234519,     529.4307717063593, -0.001718138660851834, -0.008457722193197204,     0.174788109809476,    0.9845682462907666,     -1.79721915809016,    -1.218072035512287,    -1.333415466965987, 1.012443034353744e-06,-0.0002233752496706342, 4.144419732856513e-05,-0.0001350736920899878,-1.026801933727852e-05,  -2.7468367770991e-06
