time,velX,velY,velZ,wRoll,wPitch,wYaw,wr1,wr2,wr3,wr4,qwbi,qwbj,qwbk,qwb0,X,Y,Z,driftRoll,driftPitch,driftYaw,windX,windY,windZ
0.14,  0.000973421591544264,-9.607888100660232e-05,   0.03084484262051032, 0.0002263364775887207, 0.0005578620249146277, 0.0002896549792452034,     -523.144300449303,     523.1338663734809,    -523.1027954588806,     523.1128227180709,-0.0005557179375529434, -0.001852825056995584,    0.1747977598056457,    0.9846024585505613,    -1.797769132717248,    -1.218326871102515,    -1.345728385309871,-0.0001919145932355794,-0.0002247045172669679, 0.0006303267433465446,   0.01222668079055774,  0.009990889641725478,   0.01352610732680043
0.15,   0.00231147339450084,-0.0002890803222031092,    0.0512962223354864, 0.0008049397724671589,  0.001554238064339949,-0.0004127599244054685,     -525.617305258537,     525.4671618698006,    -526.1802470820317,     525.6648705179301,-0.0005509716564945432, -0.001794907829323359,    0.1747812896684472,    0.9846054923257093,    -1.797491243303768,    -1.217946287396429,     -1.34473467626775,-0.0003896336699465372,-0.0001637881543243967, 0.0008073846372465639,    0.0120915523190699,    0.0115084723560974,   0.01121049470668908
0.21,  0.003665200073241178,-0.0006387999299956515,   0.06268388680005495, 0.0007480341700664587,  -0.01172851708269688, -0.001403193196396853,    -527.3072409311307,     527.0250259834472,    -528.1383552076223,     527.3098263023994, -0.000515857268648666, -0.001749171561130598,    0.1747522205094068,    0.9846107534031708,    -1.798071359891508,    -1.217802936084919,    -1.343946861987326, 0.0001351065180657586,  7.98266420687642e-05, 0.0009493010151856323,   0.02274841618107708,   0.02042577040401924,   0.02472817674774289
0.27,  0.004882935219093261,-0.0008776884640699398,   0.06767379311540635, 0.0004582900051013943,  -0.03147658505715017, -0.001380668701137807,    -528.4120025385185,     528.0650761021691,    -529.4785665662414,     528.4166499817768,-0.0004907041289606627, -0.002004462181471371,    0.1747089050814152,    0.9846179664347355,    -1.797645747092116,    -1.217974057954872,    -1.342004127314796,-0.0002995609452707554,-4.658790216854308e-06, 0.0009163521125115504,   0.01295743250186977,    0.0142312103416251,    0.0129525042818826
0.31,  0.005627609428500407, -0.001056920039118354,   0.06832679345184163, 0.0005957692384564875,  -0.05643538336166359, -0.001414022499444602,    -529.2717544271691,     528.7703316656251,     -530.184581688053,     529.0914457442487,-0.0005717200881025779, -0.002497526107957007,    0.1746779887046587,    0.9846222807562177,    -1.797825687628167,    -1.217278866348482,    -1.339273697125126,-0.0002913183525308114,-7.760349646222681e-05, 0.0008489374727379168,   0.02140032550534523,   0.02686309095392846,   0.02436851605484594
0.38,  0.007642718108413634, -0.001255080924457977,   0.06813437555122691,  0.001808446329382131,  -0.07816488644493819, -0.001548235898102801,     -529.941302773598,     529.2406481884012,    -530.5437854724769,      529.504775522239,-0.0007489884240393828, -0.003450878290050989,    0.1746090735206143,    0.9846315056403794,    -1.797903607589493,    -1.217236280510303,    -1.337132292938354, -2.85708850417569e-05,  0.000213617984619279,  0.000857379446864312,  0.001174252106560025,    0.0133519850647384,   0.00810389417062821
0.44,  0.01035471049215186, -0.00155139651132618,  0.06598754438145603,0.0008301287744115684, -0.09288653051894655,-0.001849233684474677,   -530.4105411739326,    529.5685319833501,   -530.7463888372511,    529.7545257337207,-0.001020397814739892,-0.004773512270054637,   0.1745655053599777,   0.9846334631259103,   -1.797491919780294,   -1.217250204406555,   -1.334516514909681,0.0002396383306342467,0.0005852241118300974,0.0008591533332797626,  0.01437735163285044,  0.01931538436849817,   0.0213555812527178
0.51,   0.01358966731416186, -0.001860509493644065,   0.06242739455173701,-0.0006223776328915728,   -0.1012115670919524, -0.001232455162059281,    -530.6934112137984,     529.8377648989479,    -530.8445263651148,     529.9077674568348, -0.001268013285442161, -0.006313470286950152,    0.1745021202561265,    0.9846357409018628,    -1.797578170070973,     -1.21682873612598,    -1.332435341543644, 0.0009115385918351128, 0.0005206128626544166,  0.001034661727525815,   0.02394693763505791,    0.0280445432189425,   0.03986242303816232
0.59,  0.01802497438540519,-0.002061547065703072,  0.05794812159652243,-0.001018877483992486,  -0.1047338994192837, -0.00081164605357635,   -530.8504069727286,    530.0012687510067,   -530.9348843691099,    530.0150284897504,-0.001562615998968514,-0.008006015011624424,   0.1744896751726348,   0.9846252156089755,   -1.797406564662939,   -1.216971783846855,   -1.330275081223038,0.0008422734741250148,0.0004326341276067744,  0.00149548525557509, 0.007572004149208035, 0.006810973887579754,  0.02278942761154319
0.64,   0.02349448650682375, -0.001953737531562378,   0.05321881400088213, -0.001097819137639041,   -0.1065454678812559,-0.0008443317467604876,     -530.998732741808,     530.1053030198448,    -530.9750237702075,     530.0546733374215, -0.001889090259249962, -0.009684922927575558,    0.1744079578440043,    0.9846240388323673,    -1.796768553104631,    -1.217101248055088,    -1.328228504984118, 0.0007609962430039013, 0.0003901989203319496,  0.001396453774116718,   0.01938227978094023,   0.02190367521565552,   0.03261876293768763
0.7,    0.0304142410444346, -0.001927352590781052,   0.04806986020689041,   -0.0005166873332377,   -0.1058182834926887,-0.0008319890885003167,    -531.1430004632832,     530.1495936991956,    -530.9943056920272,     530.0337715211416, -0.002233346058835097,  -0.01145542525437704,    0.1744191129078333,     0.984602335184143,    -1.795421952133147,    -1.217439222114629,    -1.325974394921214, 0.0008389202910892501, 2.749615288539766e-05, 0.0007791434019284986,   0.01771234334098982,   0.02245827833253801,   0.03836583563687352
