time,qPTAM0,qPTAMi,qPTAMj,qPTAMk,XPTAM,YPTAM,ZPTAM
0.31,  0.8680490255355835,0.005927890073508024,-0.01508050039410591, -0.4962129890918732,-0.04542656987905502,  -1.296088457107544,  0.7616578936576843
0.46,  0.8683537244796753,0.006028466857969761,-0.01497025601565838, -0.4956817030906677,-0.04619643464684486,  -1.295498609542847,  0.7556256651878357
0.67,  0.8696989417076111,0.006711477879434824,-0.01420772075653076, -0.4933313727378845,-0.04592453315854073,  -1.295270085334778,  0.7496360540390015
0.89,  0.8717546463012695,0.007822309620678425,-0.01249626930803061, -0.4897197782993317,-0.04640769213438034,  -1.295111536979675,  0.7448630332946777
1.11,  0.8739834427833557,0.008984694257378578, -0.0107429176568985, -0.4857527613639832,-0.04723839834332466,  -1.294090032577515,  0.7410674095153809
1.27,   0.8760573267936707, 0.009984663687646389,-0.009428824298083782,  -0.4820103645324707, -0.04863379895687103,   -1.291192889213562,   0.7384561896324158
1.46,   0.8775658011436462,  0.01048280950635672,-0.009058510884642601,  -0.4792549014091492, -0.05120375752449036,   -1.286243796348572,   0.7377009391784668
1.73,   0.8784552812576294,  0.01052992418408394,-0.009518448263406754,  -0.4776126146316528,   -0.054762352257967,    -1.27855372428894,   0.7375959753990173
1.97,  0.8786700367927551,0.009940406307578087,-0.01076128613203764, -0.4772036075592041,-0.05988530814647675,   -1.26820182800293,  0.7386614084243774
2.21,  0.8780695199966431,0.008834122680127621,-0.01264143455773592, -0.4782834053039551,-0.06512261927127838,  -1.254393219947815,  0.7410075664520264
2.45,  0.8767216205596924,0.007288477849215269,-0.01496038306504488, -0.4807091355323792,-0.07169818878173828,  -1.238610982894897,  0.7441287040710449
2.68,  0.8749082088470459,0.005703466013073921,-0.01744627021253109, -0.4839397966861725,-0.07834185659885406,  -1.218922734260559,  0.7488713264465332
2.97,  0.8729096055030823,0.004156081471592188,-0.01966024935245514, -0.4874668717384338,-0.08451856672763824,  -1.197779417037964,  0.7541390657424927
3.22,  0.8710225820541382, 0.00299793528392911,-0.02121680416166782,  -0.490774393081665,-0.09068141132593155,  -1.174682974815369,  0.7618007063865662
3.45,  0.8694252967834473,0.002351479837670922,-0.02172921225428581, -0.4935797452926636,-0.09622783958911896,  -1.150493979454041,  0.7699359655380249
3.67,   0.868334949016571,0.002269305987283587,-0.02120872214436531, -0.4955183267593384, -0.1000351831316948,  -1.125934600830078,  0.7794655561447144
3.93,  0.8677430152893066, 0.00262079993262887,-0.01994331367313862, -0.4966048896312714, -0.1027175337076187,  -1.100774526596069,  0.7896672487258911
4.18,  0.8675874471664429,0.003254563780501485,-0.01839856617152691, -0.4969324767589569, -0.1056243404746056,  -1.074980735778809,   0.801547110080719
4.4,  0.8679030537605286,0.004060630686581135,-0.01684080623090267, -0.4964304268360138, -0.1077678054571152,  -1.050355911254883,  0.8143810629844666
4.61,  0.8686561584472656,0.004894912708550692,-0.01544461026787758, -0.4951494336128235, -0.1102204620838165,  -1.025325417518616,  0.8277729749679565
4.8,  0.8695541024208069,0.005619511473923922,-0.01415380276739597, -0.4936018288135529, -0.1119496151804924, -0.9998274445533752,  0.8421286940574646
4.99,  0.8703950643539429,0.006167737301439047,-0.01316080056130886, -0.4921383559703827, -0.1144237145781517, -0.9745538830757141,  0.8576475381851196
5.25,  0.8709663152694702,0.006343350280076265,-0.01274122949689627, -0.4911354780197144, -0.1167939007282257,  -0.947715699672699,  0.8736439943313599
5.5,  0.8711992502212524,0.006187424529343843,-0.01290837023407221, -0.4907198250293732, -0.1196254268288612, -0.9203397035598755,  0.8907109498977661
5.73,  0.8711687326431274,0.005627162288874388,-0.01392285153269768, -0.4907529950141907, -0.1231489405035973, -0.8913294076919556,  0.9087852239608765
6,  0.8706102967262268,0.004611111711710691,-0.01544653624296188, -0.4917080700397491, -0.1267818063497543, -0.8617287278175354,  0.9285292029380798
6.27,  0.8697589635848999,0.003381120041012764,-0.01713452115654945,  -0.493166595697403, -0.1307854801416397, -0.8312597274780273,  0.9484887719154358
6.48,   0.868816077709198, 0.00178519613109529,-0.01919562183320522, -0.4947584569454193, -0.1346686035394669, -0.8000487089157104,  0.9703856706619263
6.68,   0.8679839372634888,0.0003074072301387787,  -0.0211451631039381,  -0.4961407482624054,  -0.1378480494022369,  -0.7676647901535034,    0.993305504322052
6.91,   0.8670979738235474,-0.001071284292265773, -0.02264850772917271,  -0.4976203143596649,  -0.1398784220218658,  -0.7353563904762268,     1.01784873008728
7.13,   0.8660677075386047,-0.002273733727633953, -0.02374761924147606,  -0.4993561804294586,  -0.1413849741220474,  -0.7030453681945801,    1.043739438056946
7.31,    0.865010142326355,-0.003076435765251517,  -0.0243647824972868,  -0.5011519193649292,  -0.1414718478918076,  -0.6704453229904175,    1.071088910102844
7.55,   0.8640949726104736,-0.003452828852459788, -0.02399395406246185,   -0.502743661403656,  -0.1401194781064987,  -0.6391758322715759,    1.099720478057861
7.78,   0.8632327318191528,-0.003347729099914432, -0.02284692227840424,  -0.5042766928672791,  -0.1365789026021957,  -0.6073998808860779,    1.130998849868774
8,   0.8623781204223633,-0.002845641458407044, -0.02107981592416763,  -0.5058165788650513,  -0.1315046101808548,  -0.5771660804748535,    1.163529515266418
