time,wr1,wr2,wr3,wr4
0.13,-529.4327463161026, 529.4001081236522,-529.3067831975812, 529.3394213753746
0.18,-530.5649684614984,530.1349063187255,-532.336177015149,530.7680285654798
0.25,-530.6864654422708, 530.1420345472479,-532.0557295352295, 530.6001338695366
0.31,-530.6692058033118, 530.1397127365356,-532.1077241268943, 530.6347533834552
0.37,-530.9241323220804, 530.0944873194769,-531.6983772171391, 530.4916696605517
0.43,-530.9769258996052, 530.0532190837622,-531.5824330760445, 530.4456654792128
0.48,-531.0513148358202,530.1117167027606,-531.443154727316, 530.370543120064
0.54,-531.2220352339507, 530.2169321186117,-531.2077832172029, 530.2832614644816
0.6,-531.2602367614605, 530.2890261409407,-531.1063461046507, 530.2365540003971
0.66,  -530.97442639539, 530.2186557890345,-531.3400119477517,  530.315032740857
0.71, -531.160130748583, 530.2921985760975,-531.1412371888945, 530.2181438111436
0.79,-531.2198717799748,  530.271344808017,-531.0914530439948, 530.1822740270813
0.83,-531.2492387721968, 530.2448593739844,-531.1006521372381, 530.1252725941993
0.89,-531.2968449794639, 530.2487412180268,-531.0567443716552, 530.0704711302567
0.94,-531.1515317643147, 530.1754663416245,-531.2243013976002, 530.0791431137937
1,-531.3179729875695,  530.195771288813,-531.0922257594962, 529.9724523170299
1.07,-531.4663798282908, 530.2468616189901,-530.8909573442497, 529.9235811681771
1.1,-531.5181893964824, 530.1694976507395,-530.9336406409012, 529.8493397499325
1.13,-531.5483942878211, 530.1439366739405,-531.0054992779418, 529.7286040338687
1.16,-531.5438655333875, 530.1109110834695,-530.9997420612735, 529.7127772541571
1.2,-531.6403466538184,  529.989858490278,-531.1241216935134, 529.5534898401722
1.26,-531.5578096020323, 529.8518783798115,-531.3318330212088, 529.5083399292041
1.31,-531.6808029173944, 529.6398456623301,-531.4340855624852, 529.4744179947694
1.35,-531.8914290719764, 529.5385410623149,-531.4062612284989, 529.3611390832252
1.41,-531.7461891621483, 529.7190085540875,-531.4057381443059, 529.3017451646903
1.47,-531.5828280634771, 529.8349939158194,-531.1278069230299, 529.6151830290274
1.52,-531.7767150061137, 529.5858048573858,-531.3685156044268,   529.41479148945
1.59,-531.5305776616341, 529.8135112092975,-531.3757193576274, 529.4418961195034
1.64,-531.4132022582758,529.9024682767483,-531.257930323862,529.6119702690473
1.72,-531.9804457505021, 529.6217876079725,-531.2436579749382, 529.3477808455578
1.76,-532.0272508746552, 529.4038801383763,-531.3323272165113, 529.3979210890616
1.84,-531.7645933874237, 529.6699861280777,-531.3113816066063, 529.4434054762141
1.91,-531.4211095241396,  530.130349707848,-530.8723203415954, 529.8196532151875
1.99,-531.4306347159859, 529.8736214831289,-531.0502529648146, 529.8885847986503
2.06,-531.5517556941072, 529.7111167532883,-531.2650439359035, 529.7543335808257
2.12,-531.3395033542774, 530.0708768993302,-531.0511736889309,  529.890854407977
2.18,-531.3658606712675, 530.2941988466816,-530.7356411914847,   530.03979756913
2.27,-531.2679868938665, 530.0060742577119,-531.1604667201876, 529.9920239458646
2.32,-531.4244125361499, 529.9016476542149,-531.2957508287828, 529.8746017953714
2.37,-531.3397497740405, 529.9650550196071,-531.2578900744587, 530.0099408479658
2.44,-531.3895721079701, 529.8969352014836,-531.1890933951453, 530.1890952688697
2.49,-531.1735259942163,530.0571848075715,-531.186755054205,530.2175694870019
2.56,-530.8286945376922,530.3469661474717,-530.995273052683,530.5368668465176
2.59,-530.8047015105979, 530.3959092536929,-530.9811799887777, 530.6044869328362
2.66,-530.8988587655606, 530.5957922817382,-530.8120575372008, 530.5533275944175
2.71, -530.730910224375, 530.3852199349093,-530.9138319838094, 530.7571589571091
2.76,-530.8682365251381, 530.2518655959636,-531.1084694959336, 530.5702729119681
2.81,-530.7038498828388, 530.3848251777752,-530.9446787284343, 530.8109244332688
2.83,-530.6365816049931, 530.5049587945841,-530.8563674204086,  530.885250851319
2.91,-530.6436920010899,  530.608515687368,-530.6612564684324, 531.0018678915262
2.96,-530.6094655060548,   530.67803895418,-530.6405636459594, 531.0068344475944
3.04,-530.4005553123734, 530.4178505375165,-530.8388156791027, 530.9632023629798
3.09,-530.4451927253431,530.3621851600928,-530.920546341155,530.8181032928177
3.15,-530.4350756783052,  530.605750687028,-530.6217902619712, 530.8827932726359
3.19,-530.3901651263676, 530.6846906161383,-530.5437350406099, 530.9152591656617
3.27,-530.1754203348655, 530.4720115794421,-530.7673009851037, 530.9273312601964
3.34,-530.3048463083111, 530.2842385359329,-530.9188949752538, 530.7889143828316
3.38,-530.3670212714305, 530.5513303091924,-530.6066383233365, 530.7477697772133
3.47,-530.283495418308, 530.630166474383, -530.49060470354,530.8090260988067
3.53,-530.3629890546833, 530.4637409885252,-530.6702987633997, 530.6784285770266
3.62,-530.5917458521351, 530.5158243311992,-530.6288370039651, 530.4090899870265
3.64,-530.6445904464861, 530.4698888558464,-530.6613734758839, 530.3368070320313
3.71,-530.5039675662775, 530.1784135925438,-530.8983789855482, 530.4185714936377
3.81,-530.6638943404496,  530.157282266009,-530.9790018457425, 530.1237033200433
3.88,-530.6632112871944, 530.1034612338925,-530.8603437214207, 530.2561153052276
3.93,-530.6804580424565, 530.1138385885265,-530.8258130331433, 530.2186528651732
