time,accX,accY,accZ,wRoll,wPitch,wYaw,Pa
0.19,       -0.2946993,       0.37328578,      -9.25355802,                0,                0,                0,100014.4195556641
0.25,      -0.28487599,       0.37328578,      -9.50896408,                0,                0,                0,100014.4653320312
0.32,      -0.26522937,       0.35363916,      -9.69560697,                0,   -0.01745329252,                0,100014.5034790039
0.39,      -0.27505268,       0.35363916,      -9.80366338,                0,   -0.01745329252,                0,100014.5492553711
0.46,      -0.27505268,       0.37328578,      -9.89207317,                0,   -0.03490658504,                0,100014.5874023438
0.53,       -0.27505268,        0.36346247,-9.931366410000001,                 0,    -0.06981317008,                 0, 100014.6255493164
0.6,      -0.27505268,       0.38310909,      -9.98048296,                0,   -0.05235987756,                0,100014.6636962891
0.67,      -0.28487599,       0.38310909,     -10.00012958,                0,    -0.0872664626,                0,100014.7018432617
0.75,      -0.28487599,       0.38310909,      -10.0197762,                0,    -0.0872664626,                0,100014.7399902344
0.82,      -0.2946993,      0.36346247,    -10.00995289,               0,   -0.0872664626,               0,100014.762878418
0.89,      -0.28487599,       0.37328578,      -10.0197762,                0,   -0.06981317008,                0,100014.7933959961
0.97,      -0.28487599,       0.36346247,     -10.02959951,                0,    -0.0872664626,                0,100014.8162841797
1.04,      -0.28487599,       0.37328578,     -10.04924613,                0,   -0.10471975512,    0.01745329252,100014.8544311523
1.11,      -0.27505268,       0.38310909,     -10.02959951,                0,   -0.10471975512,                0,100014.8696899414
1.16,       -0.2946993,       0.36346247,     -10.02959951,                0,    -0.0872664626,                0,100014.8773193359
1.22,      -0.26522937,       0.38310909,     -10.02959951,                0,   -0.05235987756,                0,100014.9078369141
1.27,      -0.27505268,       0.38310909,     -10.03942282,    0.01745329252,   -0.05235987756,   -0.01745329252,100014.9230957031
1.32,      -0.26522937,       0.37328578,     -10.03942282,    0.01745329252,   -0.05235987756,                0,100014.9383544922
1.38,      -0.27505268,       0.37328578,     -10.02959951,                0,   -0.03490658504,   -0.01745329252,100014.9307250977
1.46,      -0.28487599,       0.36346247,     -10.02959951,    0.01745329252,   -0.03490658504,                0,100014.9383544922
1.54,      -0.28487599,       0.35363916,     -10.03942282,                0,                0,                0,100014.9459838867
1.64,       -0.2946993,       0.38310909,     -10.03942282,    0.01745329252,   -0.01745329252,                0,100014.9383544922
1.73,      -0.27505268,       0.36346247,     -10.04924613,    0.03490658504,   -0.01745329252,                0,100014.9383544922
1.83,      -0.27505268,       0.34381585,     -10.02959951,    0.01745329252,                0,                0,100014.9383544922
1.88,      -0.27505268,       0.38310909,     -10.03942282,    0.01745329252,                0,                0,100014.9307250977
1.98,      -0.27505268,       0.37328578,     -10.04924613,    0.03490658504,    0.01745329252,                0,100014.9230957031
2.06,      -0.28487599,       0.36346247,     -10.02959951,    0.01745329252,    0.03490658504,                0,100014.9154663086
2.13,     -0.27505268,      0.37328578,    -10.03942282,   0.01745329252,   0.01745329252,               0,100014.892578125
2.21,       -0.2946993,       0.37328578,     -10.05906944,    0.01745329252,    0.05235987756,                0,100014.8849487305
2.29,      -0.27505268,       0.38310909,     -10.03942282,    0.01745329252,    0.05235987756,                0,100014.8620605469
2.39,      -0.27505268,       0.36346247,     -10.03942282,    0.03490658504,    0.06981317008,                0,100014.8468017578
2.45,      -0.28487599,       0.37328578,     -10.04924613,    0.01745329252,    0.06981317008,                0,100014.8239135742
2.51,      -0.27505268,        0.3929324,     -10.03942282,    0.01745329252,     0.0872664626,                0,100014.7857666016
2.6,      -0.26522937,       0.36346247,     -10.03942282,                0,    0.06981317008,                0,100014.7552490234
2.68,      -0.27505268,       0.36346247,     -10.04924613,    0.01745329252,     0.0872664626,                0,100014.7171020508
2.78,      -0.28487599,       0.36346247,     -10.02959951,    0.01745329252,     0.0872664626,                0,100014.6789550781
2.87,   -0.28487599,    0.37328578,  -10.02959951, 0.01745329252, 0.06981317008,             0,100014.6484375
2.97,      -0.26522937,       0.37328578,     -10.02959951,    0.01745329252,     0.0872664626,                0,100014.6179199219
3.02,      -0.27505268,       0.36346247,      -10.0197762,    0.01745329252,    0.06981317008,                0,100014.5797729492
3.12,      -0.26522937,       0.36346247,     -10.04924613,                0,    0.05235987756,                0,100014.5263671875
3.22,      -0.27505268,       0.36346247,     -10.02959951,                0,    0.06981317008,    0.01745329252,100014.4653320312
3.3,       -0.2946993,       0.38310909,     -10.02959951,                0,    0.06981317008,                0,100014.4195556641
