time,velX,velY,velZ,wRoll,wPitch,wYaw,wr1,wr2,wr3,wr4,qwbi,qwbj,qwbk,qwb0,X,Y,Z,driftRoll,driftPitch,driftYaw,windX,windY,windZ
0.13,  0.001137535944351599,-0.0001146430838710739,   0.03081306565866239,                     0,                     0,                     0,                  -520,                   520,                  -520,                   520,-0.0005254838786393496, -0.001854103544788242,    0.1748279757056081,    0.9845971079976915,              -1.79813,              -1.21826,              -1.34575,                     0,                     0,                     0,                     0,                     0,                     0
0.18,  0.002275071933268046,-0.0002292861722334797,   0.06162611969633154, 2.951772632053669e-14,-3.097786885478468e-15,-7.714133256374212e-12,    -523.1442487720342,     523.1333693745507,    -523.1022610658604,     523.1131404584582,-0.0005254838786393496, -0.001854103544788242,    0.1748279757056081,    0.9845971079976915,    -1.798092082135188,    -1.218263821436129,    -1.344722897811378,                     0,                     0,                     0,                     0,                     0,                     0
0.25,  0.003453893872039665,-0.0003480902758058141,   0.08192250822857222, 0.0001172744322638506,  0.001030055252821192, -0.001051645728293711,    -525.6185017591027,     525.4678947509966,    -526.1809126969279,     525.6654495040488,-0.0005256397084668433, -0.001854652493524696,    0.1748279755138567,    0.9845971069146768,    -1.798016214138851,    -1.218271467561726,    -1.342847237085531, 1.614186289145715e-09, 3.913544716868936e-09, 3.406562103680044e-13,-1.210874474475533e-05, 1.220342743077544e-06,-4.674904009764309e-07
0.31,  0.001137547705835277,-0.0001146508751108509,    0.0308130662414924, 4.036756975896324e-06,-4.068556575888906e-07,  -0.00105263773940047,    -523.5621551474236,      523.380678182416,    -524.0185765117432,     523.5333779565123,-0.0005255002761106697, -0.001854120771925705,    0.1748279756774962,    0.9845971079614909,    -1.798132560548227,    -1.218258294419151,    -1.345752988274762,                     0,                     0,                     0,                     0,                     0,                     0
0.37,  0.002481628633364126,-0.0002353073253212797,   0.04913179517506869, 0.0002124728223000995,  -0.02782163544506382,-0.0007946861473093466,     -525.953739683271,     525.6571761019211,    -526.7406520849646,     525.9251647772603,-0.0006206585058958559, -0.002384378067917708,     0.174833711929045,    0.9845948926829553,    -1.798094374749721,    -1.218262271905073,     -1.34306627243512, 6.320120045505218e-09,-0.0001017380704815846,  3.46994678120429e-05,-9.602119449669674e-05, 9.640185665598636e-06,-3.705708110250493e-06
0.43,   0.00402047819244477, -0.000362239749549607,   0.05927529079250993, 0.0003022616296303384,   -0.0372452647231168,-0.0005739641766393767,    -527.6209337757565,     527.1446090907708,    -528.3973225011961,     527.4534332173984,-0.0006722801293014911, -0.002662954609336113,    0.1748336504851651,    0.9845941556652709,    -1.798010617806026,    -1.218270367391694,    -1.339881123848817,-1.547049824096024e-07,-9.431841182927728e-05, 3.964466497376244e-05,-0.0003081176838280251, 6.343910641010936e-06,-8.336685583780254e-06
0.49,  0.005679449565746706,-0.0004424303324037249,   0.06407756563040948,-0.0006494325843539935,  -0.05396237616895527,-0.0003649098315560207,    -528.7424547936726,      528.116679501956,    -529.4610684391231,     528.4531844330344,-0.0007330244769056596, -0.003173709220214675,    0.1748194229586635,    0.9845951247092897,    -1.797288357071353,    -1.218532676276855,    -1.335814305652612,-3.406262583716038e-07, -9.45982951507306e-05, 4.048627372665447e-05,-0.0005487587402883611, -1.65427697637695e-06,-1.279214830314796e-05
0.54,  0.007860091309519078,-0.0005617570329023599,    0.0653624708805432, -0.001831921914685126,  -0.08535612877154256,-0.0001768252384079054,    -529.5116305060282,     528.7820678715713,    -530.1237781080497,      529.093487304501,-0.0009429041260860875, -0.004326878907033913,     0.174829899963561,    0.9845886933788466,    -1.797095129770581,      -1.2185484823816,    -1.332863700115758,-3.279157517907015e-07,-9.478011917264026e-05, 4.059826717660441e-05,-0.0007830757804209477,-4.398231923899728e-05,-1.646337191341218e-05
0.6,    0.0107671564663587, -0.000674691482236153,   0.06434008101118367,  -0.00385248757684495,   -0.1008183388959112,-0.0001369981563161579,    -530.0817654153357,     529.2603559539181,    -530.4851131444341,     529.4900786911612, -0.001221690525287777, -0.005722210411461063,    0.1748256120377726,    0.9845820276421288,     -1.79683312672693,     -1.21856720761603,    -1.330684951086406,-3.279157517907015e-07,-9.478011917264026e-05, 4.059826717660441e-05,-0.0007828147551608074,-4.396765846591762e-05,-1.645788412277437e-05
0.66,   0.01439497229967616,-0.0008220655786744315,   0.06176068937945491, -0.002195955963022207,  -0.06677213057759407,  6.51940173777749e-05,    -530.4757987322062,      529.603876978418,    -530.6912137320148,     529.7385056113848, -0.001289508355026759, -0.006224196561834441,    0.1748027540768601,    0.9845829542057423,    -1.796462207595085,    -1.218594381626585,    -1.327940448893157, 3.185262921018071e-07,-9.036702075517909e-05, 4.061597769779085e-05,-0.0009906982772852468, 7.340895762707882e-05,-2.112166829924078e-05
0.71,   0.01755316536673437,-0.0007571403494018795,   0.05815920080297679, -0.001582164755709069,  -0.08981926743303094, 0.0001359207273801119,    -530.6418325611805,     529.8088076539688,     -530.907788069499,     529.9308094117456, -0.001428812229861039, -0.007285632181438705,     0.174762698810777,      0.98458259032125,    -1.795832331813853,    -1.218424377310682,    -1.324986950316001, 1.910392651613482e-07,-9.618361050199416e-05, 4.089114877430476e-05, -0.001182920076050741, 1.578000797333117e-05,-2.398137570092292e-05
0.79,   0.02263438789744335,-0.0008396497335087119,   0.05390226498435726,-0.0008267184894929523,  -0.09419380515624652, 0.0001425675319819905,    -530.8146672745157,      529.970010682807,    -530.9856417124472,     530.0266206656235,  -0.00168739668706995, -0.008747702109429203,     0.174764351641113,    0.9845699831884408,    -1.795227940836856,    -1.218449263888345,    -1.322543282925977, 4.413407673554342e-07,-9.556911573522192e-05, 4.077464875970649e-05, -0.001433778481133222, 1.583294972466784e-05,-2.863214758938448e-05
0.83,   0.02869200703072036, -0.000934127378044297,   0.04922499159320023,-2.698097228518619e-05,  -0.09230539638156969, 0.0001149476046244946,    -530.9498023835248,     530.0705030449822,    -531.0208988400861,     530.0785111219473,  -0.00194752889623334,  -0.01020654604903354,    0.1747615737327314,    0.9845559536640903,    -1.794453337843886,    -1.218478397254601,    -1.320290686281698,  6.37128872098349e-07,-9.426922469480062e-05, 4.069150412245773e-05, -0.001613304402620947, 3.081877224218531e-05,-3.246892400251871e-05
0.89,    0.0356000886139476, -0.001023054014368491,   0.04427778655460113, 0.0003534139633752591,  -0.09387767107358065, 0.0001871348174298606,    -531.0496145130821,     530.1286218213162,    -531.0474832724701,     530.0940982793646, -0.002216806729496949,  -0.01172112111504985,    0.1747602615976641,    0.9845387509153951,    -1.793496937609528,    -1.218509534833869,    -1.318649853228591,  6.37128872098349e-07,-9.426922469480062e-05, 4.069150412245773e-05,  -0.00161276663448674, 3.080849931810458e-05, -3.24581010278512e-05
0.94,   0.04063839692824295, -0.001798887286397369,   0.03914668048173538, 0.0007627904171367307,  -0.07147598757735435, 6.852333652158495e-05,    -531.1321582574566,     530.1687236245016,    -531.0504801955761,     530.0862040688259, -0.002432749546342611,  -0.01192023952513987,    0.1746701547736875,    0.9845518405095003,    -1.792811308508513,    -1.218628775578222,    -1.316746438447191, 2.342585728542826e-06,-9.644641072334217e-05, 4.135734656686064e-05, -0.001832487808709865,  0.000103194372412417,-3.834337720788049e-05
1,   0.04911939174053893, -0.001963776329620267,   0.03396061391227681,  0.001274815093030703,  -0.08244383538586213, 6.047541433956604e-05,    -531.1385700277709,      530.170966416693,    -531.1085206590282,     530.0839091338935, -0.002691716788449146,  -0.01341072695851777,    0.1746574548141008,    0.9845342454892237,    -1.791404354106469,    -1.218682009604363,    -1.315122382139876, 2.080967053640165e-06,-9.884749276297727e-05, 4.143923187125617e-05, -0.002158439735491922, 6.165455190410026e-05,-4.629138626601983e-05
1.07,   0.05919740887263802, -0.001906322684168753,   0.02875406960392574,  0.001873717648825489,  -0.09996779258223011,   0.01410893149725135,    -531.1983111629343,     530.1792294157915,     -531.103237516975,     530.0468379236896, -0.002963590165320081,   -0.0152745980831315,    0.1749191417071249,    0.9844598507055398,    -1.789619965593084,    -1.218711541503937,    -1.313561761854386, 1.255953922784417e-06,-0.0001016175350054328, 4.588817271543041e-05,  -0.00275869183530649, 1.531617405369023e-07,-6.264694549049546e-05
1.1,   0.06955215751759515,  -0.00206988610815199,   0.02352856142143735,  0.004037468224780092,  -0.09687557513506145,   0.01428374632069893,    -531.2876673847197,     530.2017734835243,       -531.0324774594,     530.0057523385187, -0.003220688478111541,  -0.01692097145976892,    0.1751449735584127,     0.984391967728205,    -1.787646718630662,    -1.218775085593409,    -1.312603292867589, 1.255953922784417e-06,-0.0001016175350054328, 4.588817271543041e-05, -0.002757772271361388, 1.531106866233899e-07,-6.262606317533197e-05
